Anio,SemanaEstadistica,PM25
2018,25,69.28571428571429
2018,26,66.57142857142857
2018,27,43.714285714285715
2018,28,54.857142857142854
2018,29,41.0
2018,30,65.85714285714286
2018,31,78.71428571428571
2018,32,49.142857142857146
2018,33,38.714285714285715
2018,34,44.714285714285715
2018,35,37.714285714285715
2018,36,42.285714285714285
2018,37,28.0
2018,38,27.142857142857142
2018,39,21.428571428571427
2018,40,24.714285714285715
2018,41,19.571428571428573
2018,42,14.714285714285714
2018,43,14.0
2018,44,13.666666666666666
2018,45,14.0
2018,46,13.428571428571429
2018,47,13.0
2018,48,16.8
2018,49,15.285714285714286
2018,50,13.428571428571429
2018,51,16.666666666666668
2018,52,15.857142857142858
2019,1,20.0
2019,2,11.571428571428571
2019,3,16.714285714285715
2019,4,19.714285714285715
2019,5,19.0
2019,6,21.142857142857142
2019,7,18.0
2019,8,17.285714285714285
2019,9,19.571428571428573
2019,10,15.285714285714286
2019,11,20.0
2019,12,19.333333333333332
2019,13,27.6
2019,14,31.428571428571427
2019,15,37.42857142857143
2019,16,30.285714285714285
2019,17,35.142857142857146
2019,18,31.857142857142858
2019,19,42.285714285714285
2019,20,41.857142857142854
2019,21,47.714285714285715
2019,22,46.285714285714285
2019,23,61.0
2019,24,34.857142857142854
2019,25,72.71428571428571
2019,26,44.714285714285715
2019,27,75.14285714285714
2019,28,78.14285714285714
2019,29,72.0
2019,30,54.57142857142857
2019,31,49.285714285714285
2019,32,33.714285714285715
2019,33,42.57142857142857
2019,34,43.285714285714285
2019,35,28.571428571428573
2019,36,20.285714285714285
2019,37,20.714285714285715
2019,38,20.142857142857142
2019,39,21.285714285714285
2019,40,12.714285714285714
2019,41,25.285714285714285
2019,42,15.857142857142858
2019,43,21.285714285714285
2019,44,10.571428571428571
2019,45,18.142857142857142
2019,46,17.428571428571427
2019,47,18.571428571428573
2019,48,12.714285714285714
2019,49,17.285714285714285
2019,50,14.0
2019,51,15.0
2019,52,13.666666666666666
2020,1,17.6
2020,2,15.0
2020,3,19.428571428571427
2020,4,15.166666666666666
2020,5,17.428571428571427
2020,6,16.571428571428573
2020,7,21.571428571428573
2020,8,18.285714285714285
2020,9,18.857142857142858
2020,10,21.428571428571427
2020,11,16.428571428571427
2020,12,16.0
2020,13,17.142857142857142
2020,14,24.428571428571427
2020,15,24.142857142857142
2020,16,32.857142857142854
2020,17,24.142857142857142
2020,18,31.571428571428573
2020,19,35.857142857142854
2020,20,40.57142857142857
2020,21,42.0
2020,22,51.857142857142854
2020,23,52.2
2020,24,61.42857142857143
2020,25,42.57142857142857
2020,26,40.42857142857143
2020,27,32.714285714285715
2020,28,55.42857142857143
2020,29,72.28571428571429
2020,30,48.5
2020,31,65.14285714285714
2020,32,41.142857142857146
2020,33,39.57142857142857
2020,34,39.857142857142854
2020,35,16.0
2020,36,26.857142857142858
2020,37,25.714285714285715
2020,38,28.857142857142858
2020,39,20.142857142857142
2020,40,14.0
2020,41,19.142857142857142
2020,42,21.428571428571427
2020,43,15.857142857142858
2020,44,16.428571428571427
2020,45,17.857142857142858
2020,46,16.0
2020,47,13.142857142857142
2020,48,13.0
2020,49,15.714285714285714
2020,50,13.0
2020,51,12.428571428571429
2020,52,15.285714285714286
2020,53,14.75
2021,1,14.714285714285714
2021,2,13.142857142857142
2021,3,17.857142857142858
2021,4,13.0
2021,5,16.428571428571427
2021,6,16.0
2021,7,12.571428571428571
2021,8,16.857142857142858
2021,9,15.428571428571429
2021,10,14.857142857142858
2021,11,11.857142857142858
2021,12,17.666666666666668
2021,13,28.0
2021,14,16.428571428571427
2021,15,26.285714285714285
2021,16,24.0
2021,17,36.285714285714285
2021,18,30.714285714285715
2021,19,67.57142857142857
2021,20,49.57142857142857
2021,21,53.285714285714285
2021,22,38.285714285714285
2021,23,47.857142857142854
2021,24,59.714285714285715
2021,25,45.0
2021,26,85.42857142857143
2021,27,74.0
2021,28,80.28571428571429
2021,29,61.714285714285715
2021,30,67.71428571428571
2021,31,50.0
2021,32,59.714285714285715
2021,33,22.0
2021,34,29.285714285714285
2021,35,21.142857142857142
2021,36,15.857142857142858
2021,37,20.0
2021,38,20.714285714285715
2021,39,13.142857142857142
2021,40,14.428571428571429
2021,41,12.857142857142858
2021,42,18.571428571428573
2021,43,16.0
2021,44,13.142857142857142
2021,45,11.714285714285714
2021,46,12.857142857142858
2021,47,12.857142857142858
2021,48,14.857142857142858
2021,49,13.571428571428571
2021,50,12.285714285714286
2021,51,17.142857142857142
2021,52,16.6
2021,53,17.0
2022,1,12.714285714285714
2022,2,11.857142857142858
2022,3,8.571428571428571
2022,4,12.142857142857142
2022,5,12.0
2022,6,19.0
2022,7,17.0
2022,8,10.142857142857142
2022,9,14.285714285714286
2022,10,15.714285714285714
2022,11,22.0
2022,12,11.0
2022,13,21.166666666666668
2022,14,18.571428571428573
2022,15,25.142857142857142
2022,16,26.285714285714285
2022,17,34.285714285714285
2022,18,45.857142857142854
2022,19,61.57142857142857
2022,20,53.857142857142854
2022,21,53.57142857142857
2022,22,39.285714285714285
2022,23,69.42857142857143
2022,24,65.71428571428571
2022,25,55.0
2022,26,49.42857142857143
2022,27,42.0
2022,28,32.42857142857143
2022,29,53.142857142857146
2022,30,35.142857142857146
2022,31,36.42857142857143
2022,32,42.0
2022,33,41.42857142857143
2022,34,52.57142857142857
2022,35,41.57142857142857
2022,36,30.857142857142858
2022,37,25.285714285714285
2022,38,15.571428571428571
2022,39,22.571428571428573
2022,40,13.428571428571429
