Anio,SemanaEstadistica,tavg
2018,13,19.928571428571427
2018,14,17.3
2018,15,16.085714285714285
2018,16,16.942857142857143
2018,17,15.414285714285715
2018,18,14.071428571428571
2018,19,13.771428571428572
2018,20,12.771428571428572
2018,21,11.514285714285714
2018,22,9.37142857142857
2018,23,8.542857142857143
2018,24,7.8999999999999995
2018,25,8.885714285714286
2018,26,9.685714285714285
2018,27,9.685714285714285
2018,28,9.9
2018,29,7.457142857142857
2018,30,7.3428571428571425
2018,31,8.0
2018,32,11.557142857142859
2018,33,11.37142857142857
2018,34,9.87142857142857
2018,35,11.757142857142856
2018,36,13.942857142857141
2018,37,13.228571428571428
2018,38,13.414285714285715
2018,39,13.671428571428573
2018,40,14.542857142857143
2018,41,12.814285714285715
2018,42,14.085714285714285
2018,43,17.385714285714283
2018,44,16.742857142857144
2018,45,19.82857142857143
2018,46,17.857142857142858
2018,47,21.728571428571428
2018,48,20.185714285714287
2018,49,18.2
2018,50,19.62857142857143
2018,51,21.142857142857142
2018,52,21.47142857142857
2019,1,23.0
2019,2,18.785714285714285
2019,3,21.542857142857144
2019,4,24.042857142857144
2019,5,23.87142857142857
2019,6,23.657142857142855
2019,7,21.24285714285714
2019,8,21.614285714285717
2019,9,21.228571428571428
2019,10,19.7
2019,11,19.67142857142857
2019,12,19.014285714285712
2019,13,17.400000000000002
2019,14,18.02857142857143
2019,15,14.785714285714286
2019,16,15.042857142857143
2019,17,13.385714285714286
2019,18,14.857142857142858
2019,19,12.257142857142856
2019,20,12.228571428571428
2019,21,9.128571428571428
2019,22,10.37142857142857
2019,23,9.928571428571429
2019,24,7.871428571428572
2019,25,8.7
2019,26,6.814285714285715
2019,27,7.8999999999999995
2019,28,8.1
2019,29,9.285714285714286
2019,30,7.3
2019,31,10.957142857142857
2019,32,8.428571428571429
2019,33,10.257142857142856
2019,34,14.028571428571428
2019,35,14.514285714285714
2019,36,11.657142857142857
2019,37,11.414285714285715
2019,38,12.528571428571428
2019,39,15.385714285714286
2019,40,11.114285714285714
2019,41,19.0
2019,42,14.157142857142857
2019,43,17.928571428571427
2019,44,16.342857142857145
2019,45,21.228571428571428
2019,46,21.87142857142857
2019,47,21.32857142857143
2019,48,19.942857142857143
2019,49,20.97142857142857
2019,50,21.385714285714283
2019,51,23.228571428571428
2019,52,23.842857142857145
2020,1,21.78
2020,2,21.214285714285715
2020,3,24.071428571428573
2020,4,23.97142857142857
2020,5,23.87142857142857
2020,6,21.8
2020,7,22.5
2020,8,21.914285714285715
2020,9,21.97142857142857
2020,10,22.842857142857145
2020,11,22.12857142857143
2020,12,18.442857142857143
2020,13,18.27142857142857
2020,14,18.771428571428572
2020,15,16.614285714285714
2020,16,16.485714285714288
2020,17,16.257142857142856
2020,18,14.0
2020,19,15.042857142857143
2020,20,13.014285714285714
2020,21,11.085714285714285
2020,22,12.228571428571428
2020,23,8.585714285714285
2020,24,7.857142857142857
2020,25,9.128571428571428
2020,26,8.157142857142857
2020,27,8.557142857142857
2020,28,8.742857142857144
2020,29,9.957142857142857
2020,30,7.442857142857143
2020,31,9.5
2020,32,11.457142857142857
2020,33,7.971428571428571
2020,34,9.857142857142858
2020,35,9.742857142857144
2020,36,10.757142857142856
2020,37,12.785714285714286
2020,38,15.071428571428571
2020,39,14.757142857142856
2020,40,11.185714285714285
2020,41,16.071428571428573
2020,42,17.87142857142857
2020,43,16.95714285714286
2020,44,17.342857142857145
2020,45,19.142857142857142
2020,46,17.571428571428573
2020,47,16.857142857142858
2020,48,20.557142857142857
2020,49,20.900000000000002
2020,50,20.985714285714288
2020,51,20.599999999999998
2020,52,22.357142857142858
2020,53,22.15
2021,1,21.057142857142857
2021,2,21.642857142857142
2021,3,22.7
2021,4,20.557142857142857
2021,5,19.74285714285714
2021,6,19.785714285714285
2021,7,18.814285714285713
2021,8,21.714285714285715
2021,9,21.642857142857142
2021,10,20.599999999999998
2021,11,16.400000000000002
2021,12,17.45714285714286
2021,13,16.242857142857144
2021,14,16.02857142857143
2021,15,16.414285714285715
2021,16,13.671428571428573
2021,17,13.328571428571427
2021,18,12.528571428571428
2021,19,12.785714285714286
2021,20,10.528571428571428
